Herb,TPC_M,TPC_SD,Flav_M,Flav_SD,FRAP_M,FRAP_SD,DPPH_M,DPPH_SD
Chinese White Olive,280.46,1.7,130.29,6.85,15.853,0.259,97.11,0.1
Clove,194.47,0.61,46.3,0.72,8.315,0.081,91.28,0.72
Pricklyash Peel,90.5,1.5,157.67,5.74,3.318,0.101,93.46,0.24
Pagodatree Flower,86.93,1.51,80.35,2.12,2.571,0.157,85.19,0.28
Chinese Star Anise,53.89,0.82,52.63,0.72,2.685,0.043,89.59,0.09
Citron Fruit,46.22,1.01,16.45,0.7,0.593,0.014,22.83,0.6
Villous Amomum Fruit,46.02,1.12,100.87,5.59,2.858,0.049,86.36,0.4
Nutmeg,37.26,0.66,51.97,2.16,1.255,0.043,57.11,0.42
Honeysuckle Flower,34.78,0.54,74.93,2.04,1.285,0.013,89.82,0.4
Hawthorn Fruit,32.75,1.2,50.97,2.24,0.784,0.028,55.34,0.85
Lesser Galangal Rhizome,31.45,0.18,46.76,0.41,0.642,0.028,70.25,0.72
Mulberry Leaf,25.22,0.36,21.66,0.89,0.442,0.011,35.44,0.42
Chinese Raspberry,23.94,0.47,10.99,0.84,0.237,0.003,26.14,0.8
Tangerine Peel,23.89,0.56,9.12,0.12,0.245,0.002,18.44,0.23
Liquoric Root,23.65,0.65,18.51,0.28,0.872,0.008,27.2,1.78
Parslane Herb,23.38,0.79,26.79,0.7,0.429,0.007,50.96,0.61
Cassia Seed,22.6,0.42,47.41,2.17,0.348,0.002,55.42,0.84
Boat-fruited Scaphium Seed,22.51,0.15,39.64,0.57,0.554,0.009,58.31,0.79
Chrysanthemum,21.93,1.36,28.35,1.13,0.674,0.035,55.61,0.72
Ginger,21.24,0.09,26.21,0.34,0.806,0.008,45.26,0.58
Chinese Floweringquince Fruit,20.16,0.74,36.31,2.09,0.547,0.023,57.32,1.06
Red Tangerine Peel,18.41,1.47,6.67,0.21,0.02,0,12.82,0.7
Grand Torreya Seed,17.73,0.53,2.25,0.16,0.054,0,9.11,0.42
Black pepper,17.16,0.11,23.57,0.53,0.458,0.025,37.72,1.47
Common Cephalanoplos Herb,16.85,0.41,26.91,0.5,1.199,0.028,39.12,0.6
Sharpleaf Galangal Fruit,16.61,0.8,9.43,0.32,0.162,0.001,17.22,1.12
Chinese Date,15.98,0.06,6.25,0.18,0.178,0.001,13.81,0.91
Raisin Tree Seed,15.66,0.74,3.96,0.24,0.253,0.002,27.62,0.44
King Solomonseal Rhizome,15.52,0.26,6.69,0.16,0.174,0.007,16.41,1.06
Cape Jasmine Fruit,13.77,0.05,35.74,1.28,0.574,0.007,60.28,1.03
Kudzuvine Root,13.72,0.65,2.66,0.05,0.033,0,6.09,0.44
Peppermint,13.17,0.04,27.05,0.07,0.415,0.006,46.82,0.56
Heartleaf Houttuynia Herb,12.77,0.46,12.97,1.04,0.188,0.003,22.55,0.5
Barbary Wolfberry Fruit,12.53,0.62,3.51,0.05,0.207,0.002,8.19,0.41
Dahurian Angelica Root,12.06,0.28,1.68,0.07,0.094,0.001,16.22,0.33
Dandelion Herb,11.52,0.89,24.26,1.77,0.247,0.002,69.2,0.46
Perilla Leaf,11.3,0.16,17.76,0.48,1.113,0.008,20.45,3.3
Fragrant Solomonseal Rhizome,11.14,0.79,1.25,0.05,0.03,0,2.11,0.51
Dark Plum Fruit,11.08,0.19,14.98,0.47,0.649,0.013,19.68,0.76
Grosvenor Momordica Fruit,11.06,0.52,0.81,0.05,0.174,0.001,14.49,0.26
Reed Rhizome,10.22,0.18,4.91,0.2,0.142,0.001,12.36,0.67
Spina Date Seed,9.55,0.29,2.75,0.16,0.098,0.001,10.11,0.48
Haichow Elsholtzia Herb,9.44,0.05,11.53,0.07,0.16,0,22.35,0.54
Longstamen Onion Bulb,8.72,0.87,1.85,0.05,0.026,0,11.09,0.58
Lotus Leaf,8.66,0.36,12.55,0.64,0.123,0.001,17.71,0.62
Coix Seed,8.45,0.47,3.15,0.14,0.019,0,1.86,0.58
Lalang Grass Rhizome,7.67,0.03,6.84,0.2,0.181,0.001,12.26,1.81
Fennel,7.54,0.05,7.06,0.19,0.151,0.002,13.38,0.49
Lotus Seed,7.26,0.12,0.89,0.08,0.01,0,0.72,0.1
Mulberry Fruit,5.97,0.58,4.04,0.07,0.15,0.001,13.31,0.25
Finger Citron Fruit,5.86,0.09,1.89,0.04,0.045,0.001,9.73,0.85
Greenish Lily Bulb,5.67,0.4,12.23,1.33,0.027,0,8.06,0.82
Wrinkled Gianthyssop Herb,5.35,0.04,14.04,0.24,0.168,0.002,20.9,0.58
Adzuki Bean,5.05,0.08,5.38,0.15,0.087,0.001,9.33,0.24
Dried Longan Pulp,4.67,0.17,1.15,0.1,0.085,0,9.87,0.6
Fermented Soybean,4.01,0.22,1.96,0.1,0.085,0.002,7.36,1.37
White Hyacinth Bean,3.87,0.24,2.27,0.09,0.132,0.056,3.57,0.41
Common Yam Rhizome,3.49,0.36,3.3,0.05,0.089,0.043,32,0.32
Bamboo Leaves,2.75,0.01,1.51,0.11,0.064,0.001,6.02,0.33
Gordon Euryale Seed,2.61,0.04,1.39,0.08,0.038,0,6.9,0.62
Chinese Dwarf Cherry Seed,2.43,0.01,2.17,0.01,0.02,0,7.35,0.18
Ginkgo Seed,2.08,0.05,0.62,0.02,0.019,0,7.19,0.99
Malt,1.58,0.01,0.5,0.04,0.049,0.002,5.74,1.35
Bitter Apricot Seed,1.34,0.06,0.9,0.04,0.011,0,5.37,0.35
Black Sesame,1.34,0.01,5.3,0.06,0.046,0.001,2.29,0.26
Peach Kernel,1.32,0.02,0.92,0.02,0.01,0,4.05,0.32
Platycodon Root,1.13,0.06,0.95,0.03,0.025,0,7.9,0.8
Hemp Fruit,0.57,0,0,0,0.01,0.001,1.28,0.82
